        46       561 1.06400+2 1.20200+1 46-Pd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 1.00000-6-4.60464+1-4.63952-2-4.50520+1-9.94385-1 0.0       0.0       0.0       7.13739-4
 1.16870-6-4.60482+1-4.82255-2-4.50633+1-9.84900-1 0.0       0.0       0.0       1.32291-3
 1.29523-6-4.60484+1-4.83882-2-4.50718+1-9.76575-1 0.0       0.0       0.0       1.31391-3
 1.48502-6-4.60465+1-4.64937-2-4.50845+1-9.61950-1 0.0       0.0       0.0       1.41566-3
 1.67481-6-4.60417+1-4.17262-2-4.50973+1-9.44452-1 0.0       0.0       0.0       1.15408-3
 1.67893-6-4.60416+1-4.15876-2-4.50976+1-9.44037-1 3.09289-8 0.0       3.09289-8 1.14711-3
 1.68305-6-4.60414+1-4.14475-2-4.50978+1-9.43620-1 6.11998-8 0.0       6.11998-8 1.13989-3
 1.68717-6-4.60413+1-4.13059-2-4.50981+1-9.43202-1 1.11786-7 0.0       1.11786-7 1.13246-3
 1.69130-6-4.60412+1-4.11626-2-4.50984+1-9.42782-1 1.88487-7 0.0       1.88487-7 1.12484-3
 1.69542-6-4.60410+1-4.10178-2-4.50987+1-9.42361-1 2.93379-7 0.0       2.93379-7 1.11706-3
 1.69954-6-4.60409+1-4.08715-2-4.50989+1-9.41938-1 4.21531-7 0.0       4.21531-7 1.10915-3
 1.70366-6-4.60407+1-4.07236-2-4.50992+1-9.41514-1 5.59093-7 0.0       5.59093-7 1.10114-3
 1.70779-6-4.60406+1-4.05742-2-4.50995+1-9.41088-1 6.84530-7 0.0       6.84530-7 1.09305-3
 1.71191-6-4.60404+1-4.04232-2-4.50998+1-9.40660-1 7.73669-7 0.0       7.73669-7 1.08489-3
 1.71603-6-4.60403+1-4.02706-2-4.51000+1-9.40231-1 8.07182-7 0.0       8.07182-7 1.07667-3
 1.72015-6-4.60401+1-4.01165-2-4.51003+1-9.39801-1 7.77395-7 0.0       7.77395-7 1.06838-3
 1.72427-6-4.60400+1-3.99607-2-4.51006+1-9.39368-1 6.91140-7 0.0       6.91140-7 1.06004-3
 1.72840-6-4.60398+1-3.98032-2-4.51009+1-9.38934-1 5.67210-7 0.0       5.67210-7 1.05163-3
 1.73664-6-4.60395+1-3.94832-2-4.51014+1-9.38061-1 3.00512-7 0.0       3.00512-7 1.03462-3
 1.74076-6-4.60393+1-3.93207-2-4.51017+1-9.37622-1 1.94000-7 0.0       1.94000-7 1.02600-3
 1.74489-6-4.60392+1-3.91566-2-4.51020+1-9.37182-1 1.15610-7 0.0       1.15610-7 1.01729-3
 1.74901-6-4.60390+1-3.89907-2-4.51023+1-9.36739-1 6.35982-8 0.0       6.35982-8 1.00848-3
 1.75313-6-4.60388+1-3.88233-2-4.51025+1-9.36295-1 3.22959-8 0.0       3.22959-8 9.99562-4
 1.75725-6-4.60387+1-3.86542-2-4.51028+1-9.35850-1 0.0       0.0       0.0       9.90539-4
 1.95833-6-4.60283+1-2.82671-2-4.51163+1-9.11975-1 0.0       0.0       0.0       5.25401-4
 2.00000-6-4.60251+1-2.51299-2-4.51191+1-9.06043-1 0.0       0.0       0.0       4.35105-4
 2.15941-6-4.60257+1-2.56864-2-4.51423+1-8.83348-1 0.0       0.0       0.0       4.31246-4
 2.16472-6-4.60256+1-2.56316-2-4.51431+1-8.82518-1 3.91139-8 0.0       3.91139-8 4.30286-4
 2.17004-6-4.60256+1-2.55727-2-4.51439+1-8.81684-1 7.73955-8 0.0       7.73955-8 4.28977-4
 2.17535-6-4.60255+1-2.55098-2-4.51447+1-8.80846-1 1.41369-7 0.0       1.41369-7 4.27340-4
 2.18067-6-4.60254+1-2.54427-2-4.51454+1-8.80004-1 2.38368-7 0.0       2.38368-7 4.25406-4
 2.18598-6-4.60254+1-2.53716-2-4.51462+1-8.79157-1 3.71018-7 0.0       3.71018-7 4.23215-4
 2.19130-6-4.60253+1-2.52964-2-4.51470+1-8.78307-1 5.33084-7 0.0       5.33084-7 4.20804-4
 2.19661-6-4.60252+1-2.52170-2-4.51478+1-8.77452-1 7.07050-7 0.0       7.07050-7 4.18205-4
 2.20193-6-4.60251+1-2.51335-2-4.51485+1-8.76593-1 8.65682-7 0.0       8.65682-7 4.15441-4
 2.20724-6-4.60250+1-2.50459-2-4.51493+1-8.75731-1 9.78410-7 0.0       9.78410-7 4.12527-4
 2.21256-6-4.60250+1-2.49540-2-4.51501+1-8.74863-1 1.02079-6 0.0       1.02079-6 4.09471-4
 2.21788-6-4.60249+1-2.48579-2-4.51509+1-8.73992-1 9.83122-7 0.0       9.83122-7 4.06279-4
 2.22319-6-4.60248+1-2.47575-2-4.51516+1-8.73116-1 8.74041-7 0.0       8.74041-7 4.02948-4
 2.22851-6-4.60247+1-2.46527-2-4.51524+1-8.72236-1 7.17315-7 0.0       7.17315-7 3.99475-4
 2.23914-6-4.60244+1-2.44299-2-4.51540+1-8.70463-1 3.80039-7 0.0       3.80039-7 3.92060-4
 2.24445-6-4.60243+1-2.43118-2-4.51547+1-8.69570-1 2.45340-7 0.0       2.45340-7 3.88085-4
 2.24977-6-4.60242+1-2.41893-2-4.51555+1-8.68672-1 1.46205-7 0.0       1.46205-7 3.83902-4
 2.25508-6-4.60241+1-2.40624-2-4.51563+1-8.67770-1 8.04286-8 0.0       8.04286-8 3.79493-4
 2.26040-6-4.60239+1-2.39310-2-4.51571+1-8.66863-1 4.08425-8 0.0       4.08425-8 3.74840-4
 2.26571-6-4.60238+1-2.37951-2-4.51578+1-8.65952-1 0.0       0.0       0.0       3.69941-4
 2.53254-6-4.60105+1-1.05387-2-4.51968+1-8.13777-1 0.0       0.0       0.0       8.31418-5
 2.76602-6-4.59861+1 1.38788-2-4.52308+1-7.55305-1 0.0       0.0       0.0       1.99880-4
 2.97031-6-4.59512+1 4.87754-2-4.52606+1-6.90611-1 0.0       0.0       0.0       1.78665-3
 3.14907-6-4.59064+1 9.35979-2-4.52867+1-6.19715-1 0.0       0.0       0.0       6.27081-3
 3.30548-6-4.58521+1 1.47880-1-4.53095+1-5.42619-1 0.0       0.0       0.0       1.53821-2
 3.44234-6-4.57888+1 2.11211-1-4.53295+1-4.59327-1 0.0       0.0       0.0       3.11091-2
 3.56209-6-4.57168+1 2.83204-1-4.53469+1-3.69866-1 0.0       0.0       0.0       5.56581-2
 3.66688-6-4.56365+1 3.63477-1-4.53622+1-2.74310-1 0.0       0.0       0.0       9.14083-2
 3.75856-6-4.55484+1 4.51626-1-4.53756+1-1.72788-1 0.0       0.0       0.0       1.40865-1
 3.83879-6-4.54528+1 5.47211-1-4.53873+1-6.55021-2 0.0       0.0       0.0       2.06606-1
 3.90898-6-4.53503+1 6.49735-1-4.53975+1 4.72607-2 0.0       0.0       0.0       2.91350-1
 3.97041-6-4.52414+1 7.58635-1-4.54065+1 1.65119-1 0.0       0.0       0.0       4.00832-1
 4.07789-6-4.49997+1 1.00030+0-4.54336+1 4.33944-1 0.0       0.0       0.0       7.04862-1
 4.15851-6-4.47397+1 1.26034+0-4.54573+1 7.17621-1 0.0       0.0       0.0       1.12272+0
 4.21897-6-4.44672+1 1.53280+0-4.54750+1 1.00781+0 0.0       0.0       0.0       1.66975+0
 4.26432-6-4.41933+1 1.80670+0-4.54883+1 1.29500+0 0.0       0.0       0.0       2.34343+0
 4.29833-6-4.39286+1 2.07142+0-4.54983+1 1.56969+0 0.0       0.0       0.0       3.12927+0
 4.32384-6-4.36821+1 2.31790+0-4.55057+1 1.82365+0 0.0       0.0       0.0       3.99107+0
 4.36210-6-4.31969+1 2.80314+0-4.55170+1 2.32011+0 0.0       0.0       0.0       6.13174+0
 4.38123-6-4.28771+1 3.12293+0-4.55226+1 2.64550+0 0.0       0.0       0.0       7.98987+0
 4.40036-6-4.24789+1 3.52106+0-4.55282+1 3.04925+0 0.0       0.0       0.0       1.09695+1
 4.41119-6-4.22056+1 3.79435+0-4.55314+1 3.32572+0 2.8054-13 0.0       2.8054-13 1.34794+1
 4.42202-6-4.18853+1 4.11470+0-4.55345+1 3.64924+0 5.5512-13 0.0       5.5512-13 1.68696+1
 4.43285-6-4.15021+1 4.49791+0-4.55377+1 4.03563+0 1.0140-12 0.0       1.0140-12 2.14295+1
 4.44368-6-4.10301+1 4.96994+0-4.55409+1 4.51083+0 1.7097-12 0.0       1.7097-12 2.74860+1
 4.45452-6-4.04191+1 5.58092+0-4.55441+1 5.12498+0 2.6611-12 0.0       2.6611-12 3.53735+1
 4.46046-6-3.99829+1 6.01710+0-4.55458+1 5.56291+0 3.3018-12 0.0       3.3018-12 4.05859+1
 4.46640-6-3.93535+1 6.64655+0-4.55475+1 6.19409+0 3.9441-12 0.0       3.9441-12 4.64760+1
 4.47739-6-3.82551+1 7.74491+0-4.55508+1 7.29568+0 7.34699-1 0.0       7.34699-1 5.92310+1
 4.48838-6-3.72053+1 8.79469+0-4.55540+1 8.34868+0 1.45377+0 0.0       1.45377+0 7.43483+1
 4.49938-6-3.60065+1 9.99350+0-4.55572+1 9.55072+0 2.65542+0 0.0       2.65542+0 9.15114+1
 4.51037-6-3.49204+1 1.10796+1-4.55604+1 1.06400+1 4.47741+0 0.0       4.47741+0 1.10055+2
 4.52136-6-3.42376+1 1.17624+1-4.55637+1 1.13261+1 6.96905+0 0.0       6.96905+0 1.28952+2
 4.52631-6-3.41510+1 1.18490+1-4.55651+1 1.14141+1 8.37960+0 0.0       8.37960+0 1.37231+2
 4.53374-6-3.45055+1 1.14945+1-4.55673+1 1.10618+1 1.05012+1 0.0       1.05012+1 1.48988+2
 4.54116-6-3.53185+1 1.06815+1-4.55695+1 1.02510+1 1.26297+1 0.0       1.26297+1 1.59535+2
 4.54775-6-3.64159+1 9.58412+0-4.55714+1 9.15552+0 1.44426+1 0.0       1.44426+1 1.67517+2
 4.55105-6-3.71145+1 8.88552+0-4.55724+1 8.45789+0 1.53509+1 0.0       1.53509+1 1.70925+2
 4.55434-6-3.80094+1 7.99056+0-4.55733+1 7.56390+0 1.62606+1 0.0       1.62606+1 1.73900+2
 4.56259-6-4.04846+1 5.51538+0-4.55758+1 5.09113+0 1.78478+1 0.0       1.78478+1 1.79275+2
 4.56808-6-4.25593+1 3.44068+0-4.55774+1 3.01804+0 1.85767+1 0.0       1.85767+1 1.81090+2
 4.57221-6-4.40013+1 1.99874+0-4.55786+1 1.57731+0 1.88752+1 0.0       1.88752+1 1.81481+2
 4.57427-6-4.47565+1 1.24349+0-4.55792+1 8.22669-1 1.90246+1 0.0       1.90246+1 1.81360+2
 4.57530-6-4.51626+1 8.37431-1-4.55795+1 4.16909-1 1.90994+1 0.0       1.90994+1 1.81221+2
 4.57581-6-4.53809+1 6.19128-1-4.55796+1 1.98757-1 1.91367+1 0.0       1.91367+1 1.81132+2
 4.57667-6-4.58026+1 1.97439-1-4.55799+1-2.22680-1 1.91521+1 0.0       1.91521+1 1.80954+2
 4.57734-6-4.60893+1-8.92836-2-4.55801+1-5.09208-1 1.91093+1 0.0       1.91093+1 1.80791+2
 4.58732-6-4.33774+1 2.62256+0-4.55830+1 2.20556+0 1.84666+1 0.0       1.84666+1 1.75788+2
 4.58870-6-4.28220+1 3.17795+0-4.55834+1 2.76136+0 1.82110+1 0.0       1.82110+1 1.74737+2
 4.59832-6-3.98163+1 6.18369+0-4.55862+1 5.76992+0 1.64176+1 0.0       1.64176+1 1.65163+2
 4.60298-6-3.85796+1 7.42042+0-4.55876+1 7.00802+0 1.51165+1 0.0       1.51165+1 1.59268+2
 4.60998-6-3.73079+1 8.69212+0-4.55896+1 8.28176+0 1.31597+1 0.0       1.31597+1 1.49182+2
 4.61698-6-3.64560+1 9.54404+0-4.55917+1 9.13574+0 1.11969+1 0.0       1.11969+1 1.37941+2
 4.62414-6-3.59705+1 1.00295+1-4.55938+1 9.62329+0 9.17088+0 0.0       9.17088+0 1.25660+2
 4.63130-6-3.59677+1 1.00323+1-4.55959+1 9.62823+0 7.13850+0 0.0       7.13850+0 1.12998+2
 4.64229-6-3.66184+1 9.38157+0-4.55991+1 8.98069+0 4.60837+0 0.0       4.60837+0 9.36852+1
 4.65328-6-3.77081+1 8.29191+0-4.56023+1 7.89425+0 2.74626+0 0.0       2.74626+0 7.55303+1
 4.66428-6-3.89310+1 7.06901+0-4.56056+1 6.67458+0 1.51074+0 0.0       1.51074+0 5.93455+1
 4.68077-6-4.05182+1 5.48184+0-4.56104+1 5.09224+0 3.84036-1 0.0       3.84036-1 3.96590+1
 4.68626-6-4.11633+1 4.83672+0-4.56120+1 4.44874+0 0.0       0.0       0.0       3.43699+1
 4.68937-6-4.15580+1 4.44200+0-4.56129+1 4.05492+0 0.0       0.0       0.0       3.16548+1
 4.69548-6-4.20977+1 3.90227+0-4.56147+1 3.51699+0 0.0       0.0       0.0       2.68592+1
 4.70732-6-4.28670+1 3.13302+0-4.56182+1 2.75121+0 0.0       0.0       0.0       1.94688+1
 4.88496-6-4.45713+1 1.42870+0-4.56703+1 1.09897+0 0.0       0.0       0.0       8.11825+0
 4.89097-6-4.41688+1 1.83124+0-4.56720+1 1.50327+0 2.11414-1 0.0       2.11414-1 9.56141+0
 4.90901-6-4.31414+1 2.85856+0-4.56773+1 2.53589+0 8.37689-1 0.0       8.37689-1 1.55519+1
 4.92103-6-4.23520+1 3.64802+0-4.56808+1 3.32886+0 1.53011+0 0.0       1.53011+0 2.10005+1
 4.93306-6-4.16201+1 4.37994+0-4.56844+1 4.06431+0 2.57997+0 0.0       2.57997+0 2.75293+1
