        64       825 1.57250+2 7.90040+0 64-Gd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 1.00000-6-6.42513+1-2.51279-1-4.99765+1-1.42748+1 0.0       0.0       0.0       2.05017-2
 1.16858-6-6.41611+1-1.61106-1-4.99841+1-1.41770+1 0.0       0.0       0.0       1.72711-2
 1.29502-6-6.40780+1-7.80430-2-4.99897+1-1.40883+1 0.0       0.0       0.0       4.36273-3
 1.48468-6-6.39234+1 7.65776-2-4.99983+1-1.39252+1 0.0       0.0       0.0       5.47084-3
 1.67434-6-6.37234+1 2.76565-1-5.00068+1-1.37166+1 0.0       0.0       0.0       5.38312-2
 1.67846-6-6.37185+1 2.81518-1-5.00070+1-1.37115+1 7.08761-8 0.0       7.08761-8 5.54135-2
 1.68258-6-6.37135+1 2.86500-1-5.00072+1-1.37063+1 1.40244-7 0.0       1.40244-7 5.71130-2
 1.68670-6-6.37085+1 2.91510-1-5.00073+1-1.37011+1 2.56168-7 0.0       2.56168-7 5.89238-2
 1.69082-6-6.37035+1 2.96550-1-5.00075+1-1.36959+1 4.31934-7 0.0       4.31934-7 6.08355-2
 1.69494-6-6.36984+1 3.01618-1-5.00077+1-1.36907+1 6.72302-7 0.0       6.72302-7 6.28356-2
 1.69907-6-6.36933+1 3.06717-1-5.00079+1-1.36854+1 9.65973-7 0.0       9.65973-7 6.49124-2
 1.70319-6-6.36882+1 3.11844-1-5.00081+1-1.36801+1 1.28121-6 0.0       1.28121-6 6.70563-2
 1.70731-6-6.36830+1 3.17002-1-5.00083+1-1.36747+1 1.56866-6 0.0       1.56866-6 6.92605-2
 1.71143-6-6.36778+1 3.22189-1-5.00085+1-1.36694+1 1.77292-6 0.0       1.77292-6 7.15208-2
 1.71555-6-6.36726+1 3.27407-1-5.00086+1-1.36640+1 1.84972-6 0.0       1.84972-6 7.38353-2
 1.71967-6-6.36673+1 3.32655-1-5.00088+1-1.36585+1 1.78146-6 0.0       1.78146-6 7.62041-2
 1.72379-6-6.36621+1 3.37934-1-5.00090+1-1.36531+1 1.58380-6 0.0       1.58380-6 7.86293-2
 1.72791-6-6.36568+1 3.43244-1-5.00092+1-1.36476+1 1.29981-6 0.0       1.29981-6 8.11148-2
 1.73616-6-6.36460+1 3.53958-1-5.00096+1-1.36365+1 6.88648-7 0.0       6.88648-7 8.62970-2
 1.74028-6-6.36406+1 3.59362-1-5.00097+1-1.36309+1 4.44567-7 0.0       4.44567-7 8.90157-2
 1.74440-6-6.36352+1 3.64798-1-5.00099+1-1.36253+1 2.64930-7 0.0       2.64930-7 9.18375-2
 1.74852-6-6.36297+1 3.70267-1-5.00101+1-1.36196+1 1.45740-7 0.0       1.45740-7 9.47761-2
 1.75264-6-6.36242+1 3.75768-1-5.00103+1-1.36139+1 7.40086-8 0.0       7.40086-8 9.78416-2
 1.75676-6-6.36187+1 3.81301-1-5.00105+1-1.36082+1 0.0       0.0       0.0       1.01039-1
 1.86940-6-6.34539+1 5.46118-1-5.00156+1-1.34383+1 0.0       0.0       0.0       2.05415-1
 1.87400-6-6.34465+1 5.53453-1-5.00158+1-1.34308+1 2.67735-9 0.0       2.67735-9 2.10512-1
 1.87860-6-6.34392+1 5.60838-1-5.00160+1-1.34232+1 5.29774-9 0.0       5.29774-9 2.15811-1
 1.88320-6-6.34317+1 5.68274-1-5.00162+1-1.34156+1 9.67676-9 0.0       9.67676-9 2.21306-1
