        89       916 2.27000+2 1.00700+1 89-Ac-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 1.00000-6-8.93749+1-3.74877-1-6.96541+1-1.97207+1 0.0       0.0       0.0       4.55733-2
 1.14815-6-8.92538+1-2.53790-1-6.96639+1-1.95899+1 0.0       0.0       0.0       4.26840-2
 1.29630-6-8.91006+1-1.00603-1-6.96737+1-1.94269+1 0.0       0.0       0.0       6.69040-3
 1.29949-6-8.90969+1-9.68934-2-6.96739+1-1.94230+1 5.7235-20 0.0       5.7235-20 6.10666-3
 1.30268-6-8.90932+1-9.31647-2-6.96741+1-1.94190+1 1.1325-19 0.0       1.1325-19 5.56562-3
 1.30588-6-8.90894+1-8.94170-2-6.96743+1-1.94151+1 2.0686-19 0.0       2.0686-19 5.06522-3
 1.30907-6-8.90857+1-8.56503-2-6.96745+1-1.94111+1 3.4880-19 0.0       3.4880-19 4.60176-3
 1.31226-6-8.90819+1-8.18645-2-6.96748+1-1.94071+1 5.4290-19 0.0       5.4290-19 4.17085-3
 1.31545-6-8.90781+1-7.80594-2-6.96750+1-1.94031+1 7.8005-19 0.0       7.8005-19 3.76829-3
 1.31864-6-8.90742+1-7.42349-2-6.96752+1-1.93991+1 1.0346-18 0.0       1.0346-18 3.39067-3
 1.32183-6-8.90704+1-7.03909-2-6.96754+1-1.93950+1 1.2667-18 0.0       1.2667-18 3.03555-3
 1.32502-6-8.90665+1-6.65274-2-6.96756+1-1.93909+1 1.4317-18 0.0       1.4317-18 2.70139-3
 1.32821-6-8.90626+1-6.26442-2-6.96758+1-1.93868+1 1.4937-18 0.0       1.4937-18 2.38740-3
 1.33140-6-8.90587+1-5.87412-2-6.96760+1-1.93827+1 1.4386-18 0.0       1.4386-18 2.09328-3
 1.33440-6-8.90551+1-5.50595-2-6.96762+1-1.93788+1 1.2888-18 0.0       1.2888-18 1.83529-3
 1.34097-6-8.90469+1-4.69120-2-6.96766+1-1.93703+1 1.96321-7 0.0       1.96321-7 1.33087-3
 1.34425-6-8.90428+1-4.28216-2-6.96769+1-1.93660+1 3.57850-7 0.0       3.57850-7 1.11200-3
 1.34753-6-8.90387+1-3.86993-2-6.96771+1-1.93616+1 6.03384-7 0.0       6.03384-7 9.14551-4
 1.35082-6-8.90346+1-3.45554-2-6.96773+1-1.93573+1 9.39163-7 0.0       9.39163-7 7.39339-4
 1.36067-6-8.90220+1-2.19927-2-6.96779+1-1.93440+1 2.19131-6 0.0       2.19131-6 3.50108-4
 1.36396-6-8.90178+1-1.77612-2-6.96782+1-1.93396+1 2.47666-6 0.0       2.47666-6 2.67159-4
 1.36724-6-8.90135+1-1.35074-2-6.96784+1-1.93351+1 2.58395-6 0.0       2.58395-6 2.08419-4
 1.37052-6-8.90092+1-9.23106-3-6.96786+1-1.93306+1 2.48859-6 0.0       2.48859-6 1.74389-4
 1.37381-6-8.90049+1-4.93203-3-6.96788+1-1.93261+1 2.21247-6 0.0       2.21247-6 1.65534-4
 1.37709-6-8.90006+1-6.10074-4-6.96790+1-1.93216+1 1.81575-6 0.0       1.81575-6 1.82273-4
 1.38366-6-8.89919+1 8.10319-3-6.96795+1-1.93124+1 9.61998-7 0.0       9.61998-7 2.94087-4
 1.38695-6-8.89875+1 1.24947-2-6.96797+1-1.93078+1 6.21032-7 0.0       6.21032-7 3.89947-4
 1.39023-6-8.89831+1 1.69097-2-6.96799+1-1.93032+1 3.70091-7 0.0       3.70091-7 5.12994-4
 1.39352-6-8.89787+1 2.13481-2-6.96801+1-1.92985+1 2.03590-7 0.0       2.03590-7 6.63667-4
 1.39680-6-8.89742+1 2.58101-2-6.96803+1-1.92939+1 1.03385-7 0.0       1.03385-7 8.42408-4
 1.40008-6-8.89697+1 3.02960-2-6.96805+1-1.92892+1 0.0       0.0       0.0       1.04966-3
 1.40567-6-8.89620+1 3.79812-2-6.96809+1-1.92811+1 0.0       0.0       0.0       1.46898-3
 1.40913-6-8.89572+1 4.27757-2-6.96811+1-1.92761+1 3.5354-17 0.0       3.5354-17 1.77165-3
 1.41259-6-8.89524+1 4.75971-2-6.96814+1-1.92710+1 6.9956-17 0.0       6.9956-17 2.10784-3
 1.41605-6-8.89476+1 5.24458-2-6.96816+1-1.92660+1 1.2778-16 0.0       1.2778-16 2.47808-3
 1.41858-6-8.89440+1 5.60122-2-6.96818+1-1.92622+1 1.9191-16 0.0       1.9191-16 2.77098-3
 1.42557-6-8.89341+1 6.59230-2-6.96822+1-1.92518+1 6.26744-8 0.0       6.26744-8 3.67638-3
 1.42906-6-8.89291+1 7.09208-2-6.96825+1-1.92466+1 1.14480-7 0.0       1.14480-7 4.18395-3
 1.43255-6-8.89241+1 7.59472-2-6.96827+1-1.92414+1 1.93029-7 0.0       1.93029-7 4.72887-3
 1.43604-6-8.89190+1 8.10024-2-6.96829+1-1.92361+1 3.00448-7 0.0       3.00448-7 5.31179-3
 1.44373-6-8.89078+1 9.22356-2-6.96834+1-1.92243+1 5.98448-7 0.0       5.98448-7 6.73259-3
 1.44719-6-8.89027+1 9.73371-2-6.96837+1-1.92190+1 7.18588-7 0.0       7.18588-7 7.43525-3
 1.45001-6-8.88985+1 1.01515-1-6.96838+1-1.92146+1 7.92311-7 0.0       7.92311-7 8.03751-3
 1.45350-6-8.88933+1 1.06716-1-6.96841+1-1.92092+1 8.26631-7 0.0       8.26631-7 8.82156-3
 1.45699-6-8.88881+1 1.11948-1-6.96843+1-1.92037+1 7.96127-7 0.0       7.96127-7 9.64885-3
 1.46103-6-8.88820+1 1.18036-1-6.96846+1-1.91974+1 6.87989-7 0.0       6.87989-7 1.06620-2
 1.47096-6-8.88668+1 1.33180-1-6.96852+1-1.91816+1 3.07753-7 0.0       3.07753-7 1.34481-2
 1.47445-6-8.88614+1 1.38566-1-6.96855+1-1.91760+1 1.98675-7 0.0       1.98675-7 1.45485-2
 1.47794-6-8.88560+1 1.43982-1-6.96857+1-1.91703+1 1.18396-7 0.0       1.18396-7 1.57260-2
 1.48143-6-8.88506+1 1.49430-1-6.96859+1-1.91646+1 6.51306-8 0.0       6.51306-8 1.69893-2
 1.48492-6-8.88451+1 1.54910-1-6.96862+1-1.91589+1 3.30740-8 0.0       3.30740-8 1.83449-2
 1.48842-6-8.88396+1 1.60422-1-6.96864+1-1.91532+1 0.0       0.0       0.0       1.97951-2
 1.57055-6-8.87019+1 2.98147-1-6.96936+1-1.90083+1 0.0       0.0       0.0       6.62597-2
 1.69374-6-8.84542+1 5.45766-1-6.97047+1-1.87495+1 0.0       0.0       0.0       2.14845-1
 1.81694-6-8.81412+1 8.58804-1-6.97159+1-1.84253+1 0.0       0.0       0.0       5.17190-1
 1.82141-6-8.81283+1 8.71706-1-6.97163+1-1.84120+1 4.6161-16 0.0       4.6161-16 5.31174-1
 1.82588-6-8.81153+1 8.84730-1-6.97167+1-1.83985+1 9.1340-16 0.0       9.1340-16 5.45860-1
 1.83035-6-8.81021+1 8.97879-1-6.97171+1-1.83850+1 1.6684-15 0.0       1.6684-15 5.61238-1
 1.83483-6-8.80888+1 9.11153-1-6.97175+1-1.83713+1 2.8132-15 0.0       2.8132-15 5.77268-1
 1.83930-6-8.80754+1 9.24555-1-6.97180+1-1.83575+1 4.3787-15 0.0       4.3787-15 5.93903-1
 1.84377-6-8.80619+1 9.38087-1-6.97184+1-1.83436+1 6.2913-15 0.0       6.2913-15 6.11093-1
 1.84824-6-8.80483+1 9.51750-1-6.97188+1-1.83295+1 8.3444-15 0.0       8.3444-15 6.28799-1
 1.85272-6-8.80345+1 9.65546-1-6.97192+1-1.83153+1 1.0217-14 0.0       1.0217-14 6.46994-1
